,Bäckerei,URL,Gemeinde,Kanton
323,Bäckerei Josef Schwarz Visp AG,https://vo.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-112.450.563&lang=de,Visp,VS - Brig (Oberwallis)
324,Bäckerei Kaffee Spontan GmbH,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-234.076.108&lang=de,Mühleberg,BE - Bern
325,Bäckerei Kafi Berlinge Nüesch,https://tg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-229.442.348&lang=de,Berlingen,TG - Thurgau
326,Bäckerei Kast AG,https://ar.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-106.848.555&lang=de,Reute (AR),AR - Appenzell A. Rh.
327,Bäckerei Knobel GmbH,https://sz.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-108.640.735&lang=de,Tuggen,SZ - Schwyz
328,Bäckerei Koller GmbH,https://ar.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.068.399&lang=de,Teufen (AR),AR - Appenzell A. Rh.
329,Bäckerei Konditorei Adula GmbH,https://gr.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-145.311.649&lang=de,Tujetsch,GR - Graubünden
330,Bäckerei Konditorei Albert Fähndrich,https://ag.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.469.657&lang=de,Sins,AG - Aargau
331,Bäckerei Konditorei Bachmann GmbH,https://sg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-391.154.650&lang=de,Rheineck,SG - St. Gallen
332,Bäckerei Konditorei Bruderer AG,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-265.591.932&lang=de,Wichtrach,BE - Bern
333,BÄCKEREI KONDITOREI CAFÉ HAUSAMMANN,https://zh.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-109.384.807&lang=de,Zürich,ZH - Zürich
334,Bäckerei Konditorei Café Meier,https://bs.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-193.500.199&lang=de,Basel,BS - Basel-Stadt
335,Bäckerei Konditorei Confiserie Haas,https://ag.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-114.448.583&lang=de,Oberlunkhofen,AG - Aargau
336,Bäckerei Konditorei Confiserie Schillig GmbH,https://ur.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-278.962.802&lang=de,Bürglen (UR),UR - Uri
337,Bäckerei Konditorei Confiserie Wick AG,https://sg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-110.195.673&lang=de,Rapperswil-Jona,SG - St. Gallen
338,Bäckerei Konditorei Dörig,https://sg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.266.918&lang=de,Oberbüren,SG - St. Gallen
339,"Bäckerei Konditorei Fahrni, Nachfolger Heinz Geissbühler",https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-276.039.461&lang=de,Thun,BE - Bern
340,Bäckerei Konditorei Gabriel AG,https://gr.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-361.794.690&lang=de,Breil/Brigels,GR - Graubünden
341,Bäckerei Konditorei Graber,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-113.643.314&lang=de,Aeschi bei Spiez,BE - Bern
342,Bäckerei Konditorei Grossenbacher AG,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-166.810.220&lang=de,Jegenstorf,BE - Bern
343,Bäckerei Konditorei Gut,https://zh.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-152.889.089&lang=de,Marthalen,ZH - Zürich
